Customer_Name,Orders_Count,CLV
"Mitch Willingham",2,5253.88
"Harold Ryan",7,5248.79
"Steven Cartwright",11,5226.21
"Resi Pölking",12,5153.08
"Lena Radford",6,5142.89
"Mike Pelletier",9,5087.92
"Anna Andreadi",6,5086.93
"Ivan Liston",7,5040.74
"Kelly Lampkin",8,5016.49
"Laurel Beltran",8,4985.68
"Dave Hallsten",6,4932.87
"Irene Maddox",7,4930.47
"Ted Trevino",7,4915.6
"Kunst Miller",8,4909.47
"Philisse Overcash",9,4893.04
"Heather Kirkland",8,4877.78
"Anthony Jacobs",7,4867.34
"Joe Kamberova",10,4867.2
"Alan Hwang",9,4805.34
"Dean Katz",9,4802.39
"Russell Applegate",9,4793.54
"Sue Ann Reed",10,4767.34
"Jim Kriz",9,4760.43
"Bart Watters",8,4750.36
"Tracy Blumstein",9,4737.49
"Giulietta Baptist",5,4716.29
"Rick Bensley",12,4715.47
"Erin Smith",9,4657.92
"Deborah Brumfield",8,4655.9
"Kean Thornton",10,4642.09
"Sample Company A",9,4624.57
"Eugene Moren",6,4588.44
"Dave Brooks",7,4531.65
"Anthony Rawles",8,4523.34
"Arthur Gainer",10,4510.8
"Anthony Johnson",7,4501.39
"Linda Cazamias",8,4492.95
"Stewart Carmichael",7,4492.66
"Theone Pippenger",9,4454.06
"Mark Cousins",5,4432.14
"Jamie Kunitz",5,4427.14
"Katrina Willman",5,4416.52
"Bradley Drucker",6,4411.24
"Arianne Irving",10,4375.79
"Scot Coram",4,4371.96
"Ellis Ballard",5,4358.13
"Gary Zandusky",9,4355.15
"Steven Roelle",8,4345.89
"Natalie DeCherney",9,4326.14
"Matt Abelman",11,4299.16
"Sung Pak",10,4282.94
"Dana Kaydos",5,4282.18
"Rick Duston",8,4272.93
"Toby Carlisle",8,4266.81
"Alan Schoenberger",5,4260.78
"Frank Hawley",10,4256.27
"Claudia Bergmann",8,4246.46
"Tracy Hopkins",7,4234.1
"Bill Eplett",5,4204.68
"Jill Fjeld",8,4198.33
"Gary Hwang",4,4172.85
"Roland Schwarz",8,4159.77
"Muhammed Yedwab",11,4152.7
"Peter McVee",4,4115.66
"Stewart Visinsky",9,4105.3
"Denise Monton",8,4074.47
"Frank Preis",8,4046.75
"Susan Pistek",6,3990.69
"Craig Molinari",4,3984.45
"Michael Paige",9,3983.64
"Sean Christensen",7,3979.06
"Sanjit Jacobs",12,3949.66
"Luke Foster",7,3930.51
"Pierre Wener",7,3922.42
"George Ashbrook",8,3919.78
"Ken Heidel",9,3918.97
"Chris Cortes",12,3913.42
"Dorothy Badders",7,3908.8
"Nora Paige",5,3908.4
"Kelly Collister",4,3908.26
"Fred Chung",7,3889.37
"Bill Stewart",5,3887.83
"John Stevenson",5,3868.02
"Ruben Ausman",7,3832.31
"Annie Thurman",10,3831.86
"Olvera Toch",5,3818.62
"Rose O'Brian",7,3815.48
"Michael Chen",7,3805.71
"Michael Moore",11,3794.08
"Carol Adams",6,3789.72
"Matthew Grinstein",7,3785.28
"Maribeth Dona",7,3766.38
"Jim Karlsson",7,3760.03
"Juliana Krohn",3,3747.67
"Frank Merwin",9,3736.2
"Scott Cohen",8,3729.79
"Hunter Glantz",7,3690.28
"Ben Peterman",9,3675.86
"Liz Preis",7,3653.4
"Christopher Schild",9,3651.86
"Ed Braxton",9,3644.98
"Jeremy Pistek",7,3635.59
"Sam Zeldin",11,3625.33
"Rick Hansen",5,3621.38
"Thomas Boland",4,3589.3
"Gary McGarr",7,3582.82
"Dionis Lloyd",8,3539.32
"Erica Smith",5,3510.46
"Robert Waldorf",5,3495.65
"Anna Gayman",7,3489.04
"Emily Ducich",8,3484.92
"Pauline Webber",10,3454.92
"Sarah Foster",9,3422.79
"Frank Carlisle",7,3418.74
"Sally Hughsby",13,3406.84
"Sandra Glassco",3,3406.58
"Trudy Schmidt",5,3368.09
"Sam Craven",5,3362.96
"Victoria Pisteka",7,3360.53
"Doug Jacobs",3,3356.4
"Dianna Vittorini",6,3341.59
"Sylvia Foulston",9,3336.54
"Dan Campbell",9,3336.17
"Arthur Prichep",10,3323.56
"Dennis Kane",8,3318.49
"Katharine Harms",8,3312.86
"Randy Ferguson",8,3309.15
"Rick Reed",6,3302.26
"Brian Dahlen",7,3288.47
"Brian Stugart",3,3288.11
"Rob Williams",9,3279.75
"Daniel Lacy",6,3272.2
"Damala Kotsonis",12,3256.48
"Adam Shillingsburg",9,3255.31
"Jack O'Briant",9,3254.95
"Adam Hart",10,3250.34
"Henry Goldwyn",12,3247.64
"Lindsay Castell",4,3246.63
"Carol Triggs",8,3241.9
"Edward Becker",10,3236.31
"Sharelle Roach",5,3233.48
"Lindsay Williams",6,3230.31
"Ricardo Sperren",5,3221.29
"Alejandro Savely",6,3214.24
"Mark Packer",7,3206.13
"Christine Sundaresam",11,3202.16
"Brian Thompson",7,3196.75
"Deirdre Greer",5,3195.82
"Jeremy Lonsdale",6,3173.87
"Greg Matthias",6,3163.63
"Janet Martin",6,3159.12
"Chloris Kastensmidt",13,3154.86
"Karen Bern",7,3152.62
"Maxwell Schwartz",9,3144.68
"Ruben Dartt",9,3133.92
"Tanja Norvell",7,3130.22
"Steve Nguyen",7,3127.96
"Speros Goranitis",6,3124.83
"Katherine Hughes",6,3100.61
"Patrick Gardner",13,3086.91
"Eugene Hildebrand",10,3082.65
"Gary Mitchum",6,3078.62
"Eugene Barchas",6,3071.13
"Mike Gockenbach",4,3061.54
"Toby Gnade",5,3058.37
"Kean Takahito",7,3057.1
"Shahid Shariari",6,3056.81
"Sara Luxemburg",7,3053.01
"Aaron Smayling",7,3050.69
"Cynthia Arntzen",7,3041.57
"Carlos Soltero",11,3036.55
"Lindsay Shagiari",9,2988.67
"Michelle Huthwaite",5,2984.95
"Frank Atkinson",7,2984.05
"David Bremer",7,2973.09
"Noel Staavos",13,2964.82
"Tamara Manning",8,2955.23
"Christine Kargatis",5,2945.32
"Thea Hudgings",4,2942.77
"Liz Thompson",8,2936.25
"Becky Castell",9,2933.68
"Julie Kriz",10,2932.48
"Shaun Weien",7,2921.54
"Maris LaWare",6,2921.5
"Rob Dowd",10,2912.89
"Craig Yedwab",8,2900.03
"Neil Ducich",6,2893.46
"Meg Tillman",6,2890.14
"Barry Französisch",8,2888.51
"David Smith",9,2881.81
"Paul Van Hugh",5,2876.05
"Ionia McGrath",3,2872.63
"Chuck Clark",10,2870.05
"Craig Carroll",4,2854.12
"Arthur Wiediger",7,2852.97
"Erin Ashbrook",13,2846.71
"Linda Southworth",6,2845.27
"Darren Budd",5,2839.23
"Justin MacKendrick",10,2833.93
"Christina VanderZanden",5,2830.63
"Troy Staebel",7,2820.42
"Gary Hansen",9,2819.47
"Barry Gonzalez",8,2798.95
"Trudy Brown",9,2797.67
"Robert Dilbeck",5,2786.63
"John Castell",9,2772.06
"Philip Fox",6,2770
"Emily Burns",10,2767.22
"Chris Selesnick",12,2754.22
"Michelle Moray",8,2749.88
"Ken Black",12,2744.74
"Lauren Leatherbury",6,2741.2
"Marc Crier",8,2725.98
"John Lucas",6,2725.26
"Marina Lichtenstein",9,2722.84
"Jay Kimmel",8,2709.63
"Justin Ellison",3,2697.25
"Bradley Talbott",5,2684.49
"Bill Overfelt",5,2682.73
"Frank Olsen",10,2678.44
"Nicole Hansen",7,2673.29
"Richard Bierner",8,2663.09
"Eva Jacobs",5,2656.69
"Dave Kipp",7,2650.56
"Christina Anderson",9,2648.29
"Logan Currie",9,2633.58
"Ralph Arnett",9,2617.91
"Katherine Nockton",9,2617.27
"Sean O'Donnell",6,2602.58
"Stephanie Ulpright",7,2595.36
"Helen Andreada",8,2584.16
"Alejandro Grove",5,2582.9
"Lena Cacioppo",8,2580.7
"Steve Chapman",10,2576.41
"Neola Schneider",4,2575.86
"Beth Thompson",5,2567.66
"Eleni McCrary",5,2567.01
"Mary Zewe",6,2564.91
"Bruce Stewart",7,2562.38
"Deanra Eno",5,2550.87
"Corey Catlett",7,2540.63
"Ann Chong",5,2537.69
"Charles McCrossin",6,2533.31
"Herbert Flentye",7,2533.16
"Fred McMath",9,2523.27
"Julia Barnett",5,2518.12
"Joy Smith",6,2516.49
"Don Jones",8,2501.69
"Amy Hunt",5,2495.39
"Patrick O'Donnell",7,2493.21
"Nick Zandusky",9,2488.31
"Michael Nguyen",6,2477.95
"Beth Paige",7,2475.16
"Charles Crestani",7,2471.65
"Nat Carroll",5,2461.4
"Filia McAdams",10,2456.64
"Mark Hamilton",8,2456.18
"Brendan Sweed",6,2454.93
"Valerie Mitchum",7,2454.87
"George Zrebassa",4,2454.62
"Michelle Arnett",6,2453.28
"Bart Pistole",12,2442.04
"Matt Collister",6,2426.07
"Thea Hendricks",5,2422.82
"Marc Harrigan",6,2394.02
"David Flashing",3,2390.53
"Xylona Preis",11,2374.66
"Clytie Kelty",11,2372.75
"Jennifer Ferguson",6,2371.45
"Cynthia Voltz",9,2370.31
"Nick Radford",5,2367.28
"Jack Garza",3,2358.68
"Andrew Gjertsen",8,2356.86
"Craig Leslie",5,2353.59
"Maureen Gastineau",4,2350.19
"Roland Fjeld",7,2341.3
"Elizabeth Moffitt",8,2339.6
"Dean Braden",10,2332.58
"Chris McAfee",5,2305.71
"Michael Kennedy",8,2302.37
"Lena Hernandez",9,2295.33
"Kristina Nunn",8,2280.58
"Jamie Frazer",7,2279.59
"Fred Harton",4,2271.28
"Craig Carreira",7,2269.7
"Bobby Elias",5,2261.44
"Kalyca Meade",6,2260.96
"Matt Connell",8,2258.19
"Justin Hirsh",4,2256.39
"Maribeth Yedwab",7,2254.28
"Ken Dana",5,2243.51
"Tony Sayre",6,2243.27
"Jason Gross",6,2240.58
"Laurel Workman",5,2238.06
"Allen Rosenblatt",5,2236.13
"Greg Guthrie",9,2224
"Nathan Cano",6,2218.99
"Mick Crebagga",10,2218.98
"Dave Poirier",8,2215
"Phillip Flathmann",5,2206.13
"Maya Herman",7,2203.78
"Janet Lee",5,2203.7
"Justin Ritter",5,2201.69
"Edward Nazzal",4,2199.37
"Toby Braunhardt",6,2198.45
"Giulietta Weimer",7,2189.02
"Bill Tyler",6,2186.61
"Pamela Stobb",6,2181.48
"Shahid Hopkins",10,2180.72
"Kean Nguyen",5,2171.96
"Daniel Byrd",8,2171.6
"Roy Phan",8,2170.72
"Theresa Swint",6,2163.62
"Helen Abelman",7,2163.3
"Ed Jacobs",4,2162.17
"Neoma Murray",10,2161.98
"John Dryer",5,2152.35
"Clay Rozendal",4,2148.85
"Duane Noonan",7,2139.79
"Karen Carlisle",6,2120.95
"Stefanie Holloman",2,2096.39
"Liz Carlisle",5,2095.06
"Rob Haberlin",3,2085.74
"Trudy Glocke",4,2074.66
"Max Ludwig",7,2071.91
"Roger Barcio",4,2067.45
"Tom Stivers",5,2054.14
"Art Ferguson",7,2052.91
"Carlos Daly",5,2033.97
"Nicole Fjeld",7,2031.47
"Denny Joy",4,2012.52
"Victoria Brennan",6,2005.6
"Harold Pawlan",7,1990.31
"Doug Bickford",7,1989.05
"Paul Gonzalez",9,1987.16
"Nona Balk",9,1972.6
"Scott Williamson",6,1966.65
"Lisa DeCherney",4,1961.93
"Christy Brittain",8,1949.2
"Tracy Poddar",4,1936.64
"Jas O'Carroll",6,1934.27
"Jay Fein",6,1911.84
"Max Engle",8,1908.45
"Susan Vittorini",8,1903.49
"Katherine Ducich",6,1888.96
"Giulietta Dortch",4,1888.07
"Sheri Gordon",8,1884.8
"Lisa Ryan",5,1879.31
"Shaun Chance",7,1875
"Brooke Gillingham",6,1874.17
"Stephanie Phelps",9,1872.44
"Nat Gilpin",5,1869.58
"Cynthia Delaney",5,1860.73
"Skye Norling",6,1860.42
"Patrick Ryan",5,1840.18
"Ashley Jarboe",7,1839.24
"Pamela Coakley",4,1832.06
"Emily Grady",5,1832.02
"Pauline Johnson",7,1824.23
"Noah Childs",5,1821.74
"Janet Molinari",5,1804.15
"Jennifer Braxton",10,1791.6
"Andrew Allen",4,1790.51
"Chad Cunningham",6,1770.94
"Darrin Sayre",4,1762.21
"Monica Federle",5,1758.3
"Aaron Hawkins",7,1744.7
"Logan Haushalter",9,1739.69
"Ben Wallace",6,1738.41
"Valerie Takahito",2,1736.6
"Adrian Hane",7,1735.51
"Mike Vittorini",7,1734.57
"Jessica Myrick",7,1733.44
"Brad Eason",6,1727.65
"Denny Blanton",4,1711.69
"Julie Prescott",9,1707.71
"Tracy Zic",4,1707.29
"Becky Pak",6,1697.86
"Darren Koutras",5,1687.04
"Meg O'Connel",8,1687.03
"Ryan Akin",5,1686.92
"Katrina Edelman",8,1686.73
"Cathy Armstrong",5,1679.72
"Candace McMahon",6,1673.89
"Jennifer Patt",7,1669.13
"Chad McGuire",4,1661.61
"Cindy Chapman",9,1659.44
"Erica Bern",4,1643.26
"Anne Pryor",8,1638.55
"Annie Zypern",6,1622.02
"Maurice Satty",6,1613.4
"Tim Brockman",7,1602.38
"Craig Reiter",4,1600.55
"Alan Haines",4,1587.45
"Benjamin Farhat",4,1585.16
"Cyma Kinney",9,1582.11
"Mike Caudle",5,1582
"James Lanier",5,1571.52
"Karl Braun",9,1569.46
"George Bell",11,1568.44
"Odella Nelson",9,1567.52
"Mark Van Huff",9,1560.05
"Maria Bertelson",10,1548.7
"Brian DeCherney",6,1538.11
"Cathy Hwang",3,1537.24
"Bruce Degenhardt",6,1526.5
"Benjamin Venier",5,1523.27
"Kelly Andreada",7,1519.51
"Ann Blume",4,1515.86
"John Grady",6,1507.02
"Dan Lawera",8,1503.11
"Zuschuss Donatelli",5,1493.94
"Charlotte Melton",6,1475.14
"Laurel Elliston",6,1469.45
"Ted Butterfield",5,1467.88
"Parhena Norris",8,1467.15
"Ralph Kennedy",3,1460.19
"Bradley Nguyen",5,1459.34
"Delfina Latchford",8,1458.26
"Philip Brown",8,1456.95
"Andy Gerbode",4,1455.04
"Raymond Messe",6,1453.47
"Paul Knutson",2,1441.15
"Tamara Dahlen",9,1434.55
"Julia West",4,1428.73
"Mick Brown",7,1428.23
"Thomas Thornton",8,1427.04
"Christine Abelman",4,1421.95
"Roger Demir",10,1419.74
"Nancy Lomonaco",4,1418.09
"Jill Stevenson",4,1417.65
"Paul MacIntyre",3,1405.4
"Guy Armstrong",11,1398.38
"Cyra Reiten",3,1397.87
"Nathan Gelder",5,1395.94
"Jeremy Ellison",6,1388.68
"Troy Blackwell",5,1387.56
"Frank Gastineau",7,1383.14
"Don Miller",3,1376.79
"Gene Hale",2,1361.24
"Sarah Bern",3,1348.02
"Liz MacKendrick",5,1346.77
"Maureen Gnade",3,1342.28
"Sarah Jordon",6,1341.04
"Bryan Mills",10,1338.84
"Barry Franz",4,1333.88
"Saphhira Shifley",8,1324.03
"Dario Medina",7,1322.03
"Michelle Tran",4,1319.45
"Shirley Jackson",5,1318.78
"Magdelene Morse",4,1314.02
"Sibella Parks",6,1306.09
"Matt Collins",8,1303.89
"Eileen Kiefer",4,1303.48
Corey-Lock,5,1300.08
"Denny Ordway",9,1300.03
"Hallie Redmond",5,1299.29
"Georgia Rosenberg",2,1284.38
"Cari Sayre",5,1278.95
"Paul Stevenson",8,1278.64
"Stuart Van",4,1271.09
"Doug O'Connell",7,1267.32
"Carl Ludwig",4,1262.01
"Liz Willingham",3,1259.04
"Michelle Ellison",4,1256.94
"Gene McClure",10,1255.68
"Steve Carroll",6,1254.64
"Matt Hagelstein",4,1252.8
"Elpida Rittenbach",3,1245.79
"Tony Chapman",9,1244.98
"Joni Wasserman",7,1244.09
"Michael Grace",5,1242.83
"Nora Pelletier",6,1228.7
"Patrick Jones",8,1220.09
"Erica Hernandez",7,1219.53
"Jack Lebron",6,1214.96
"Christina DeMoss",2,1205.58
"Michael Dominguez",5,1204.91
"Dorothy Wardle",7,1204.85
"Evan Bailliet",6,1186.33
"Benjamin Patterson",5,1181.49
"Debra Catini",5,1174.62
"Alyssa Tate",6,1171.81
"Jim Radford",2,1156.66
"Duane Benoit",7,1155.2
"Claire Gute",3,1148.78
"Kimberly Carter",4,1146.05
"Ross DeVincentis",8,1137.62
"Carl Weiss",6,1136.59
"Jim Sink",4,1131.06
"Darrin Van Huff",5,1119.48
"Alan Barnes",8,1113.84
"Tony Molinari",3,1094.68
"Jesus Ocampo",5,1090.84
"Scot Wooten",7,1085.08
"Jeremy Farry",11,1082.92
"Dennis Bolton",5,1081.47
"David Wiener",6,1080.75
"Cindy Schnelling",4,1077.23
"Pauline Chand",2,1061.49
"David Philippe",2,1058.62
"Jenna Caffey",1,1058.11
"Phillina Ober",5,1056.86
"Allen Armold",9,1056.39
"Vivek Sundaresam",4,1055.98
"Alex Russell",4,1055.69
"Darren Powers",9,1050.64
"Duane Huffman",4,1043.1
"Susan MacKendrick",1,1043.04
"Eudokia Martin",4,1041.04
"Theresa Coyne",1,1038.26
"Mike Kennedy",4,1031.6
"Tiffany House",8,1022.2
"Sean Wendt",3,1019.04
"Luke Schmidt",6,1010.26
"Randy Bradley",2,1008.2
"Lynn Smith",6,1008.14
"Bruce Geld",6,1006.36
"Victor Preis",3,993.9
"Ken Brennan",7,983.92
"Barry Pond",5,983.42
"Toby Swindell",5,974.78
"Russell D'Ascenzo",4,970.94
"Aimee Bixby",5,966.71
"Roy Collins",6,966.41
"Sung Shariari",5,964.64
"Jonathan Howell",7,959.48
"Jason Fortune-",5,955.12
"Rachel Payne",4,954.65
"Bryan Spruell",2,949.43
"Roy Französisch",8,945.22
"Eric Barreto",5,944.6
"Maureen Fritzler",5,937.04
"Eric Murdock",5,933.7
"Alyssa Crouse",3,925.8
"Evan Henry",6,923.88
"Mary O'Rourke",4,922.49
"Alejandro Ballentine",9,914.53
"Katrina Bavinger",3,908.82
"Catherine Glotzbach",6,904.47
"Sonia Cooley",5,902.73
"Joni Blumstein",3,900.55
"Henia Zydlo",5,886.52
"Aaron Bergman",3,886.16
"Ryan Crowe",6,885.75
"Chad Sievert",4,884.64
"Harold Engle",4,883.53
"Sally Knutson",3,883.41
"Richard Eichhorn",5,876.7
"Jim Mitchum",5,864.95
"Jocasta Rupert",1,863.88
"Art Foster",4,861.56
"Julie Creighton",5,858.58
"Michael Stewart",6,855.12
"Vicky Freymann",5,847.94
"Vivek Gonzalez",6,846.01
"Charles Sheldon",5,844.46
"Todd Boyes",5,834.33
"Ann Steele",7,833.4
"Erica Hackney",6,825.95
"Thomas Brumley",4,816.17
"Alice McCarthy",5,814.01
"Brendan Murry",6,808.16
"David Kendrick",2,797.83
"Matthew Clasen",4,795.15
"Beth Fritzler",3,791.99
"Harry Greene",5,785.63
"Michael Granlund",9,776.38
"Muhammed MacIntyre",9,775.41
"Sandra Flanagan",7,763.55
"Steven Ward",2,758.7
"Liz Pelletier",4,756.61
"Dorris liebe",5,755.6
"Ivan Gibson",4,744.57
"Barry Blumstein",5,744.34
"Tracy Collins",7,742.56
"Michelle Lonsdale",3,742.08
"Ritsa Hightower",2,740.38
"Patrick Bzostek",3,740.36
"Angele Hood",4,738.5
"Henry MacAllister",4,736.28
"Patricia Hirasaki",1,729.65
"Pete Armstrong",6,729.41
"Jennifer Jackson",5,709.18
"Julia Dunbar",3,695.44
"Peter Bühler",4,688.32
"Eric Hoffmann",8,684.17
"Toby Ritter",5,675.94
"Alex Grayson",5,660.97
"Berenike Kampe",6,659.14
"Bryan Davis",6,658.47
"Anna Chung",5,657.32
"Anthony Witt",4,649.38
"Lori Olson",5,644.35
"Joy Bell-",7,644.12
"Carol Darley",3,639.77
"Mathew Reese",4,639.18
"Astrea Jones",3,629.25
"Ralph Ritter",2,615.93
"Shirley Schmidt",3,613.4
"Bobby Trafton",4,603.88
"Barbara Fisher",7,599.8
"Maria Zettner",4,593.61
"Denise Leinenbach",4,585.02
"Alan Shonely",7,584.61
"Brian Derr",3,582.65
"Neil Knudson",7,572.05
"Carlos Meador",2,565.39
"Chuck Sachs",2,550.64
"Cari Schnelling",6,537.63
"John Huston",6,528.91
"Rob Beeghly",5,528.55
"Andy Yotov",4,497.01
"Corey Roper",3,475.9
"MaryBeth Skach",4,475.66
"Joni Sundaresam",5,469.17
"Erin Creighton",5,461.91
"Khloe Miller",5,453.54
"Kelly Williams",4,449.1
"Tim Taslimi",3,439.5
"Shui Tom",7,433.34
"Vivek Grady",5,427.37
"Sonia Sunley",6,418.49
"Brad Thomas",2,415.2
"Mark Haberlin",4,400.02
"Barry Weirich",3,385.52
"Joy Daniels",6,385.43
"Jason Klamczynski",3,383.81
"Vivian Mathis",5,380.69
"Neil Französisch",4,377.16
"Melanie Seite",4,370.35
"Lycoris Saunders",3,368.88
"Aleksandra Gannaway",4,367.55
"Evan Minnotte",3,366.82
"Heather Jas",5,358.1
"Don Weiss",5,344.08
"Larry Tron",3,329.88
"Brendan Dodson",2,320.54
"Lisa Hazard",4,318.24
"Jennifer Halladay",4,309.28
"Jill Matthias",5,303.95
"Chuck Magee",3,287.99
"Larry Hughes",3,287.43
"Sung Chung",2,280.63
"Stuart Calhoun",4,279.26
"Nicole Brennan",2,273.87
"Bart Folk",3,272.95
"Dorothy Dickinson",6,269.54
"Brad Norvell",4,265.3
"Andrew Roberts",5,264.86
"Harold Dahlen",3,251.36
"Sally Matthias",4,244.49
"Paul Lucas",5,239.48
"Guy Phonely",2,236.53
"Erin Mull",4,228.99
"Guy Thornton",4,226.44
"Robert Barroso",5,221.08
"Hilary Holden",2,218.67
"Allen Goldenen",5,200.94
"Joel Jenkins",2,195
"Anthony Garverick",4,170.58
"Muhammed Lee",2,162.23
"Anthony O'Donnell",1,161.28
"Pete Takahito",4,160.57
"Dianna Arnett",4,156.76
"Michael Oakman",2,154.29
"Greg Hansen",2,146.94
"Phillip Breyer",2,132.74
"Bobby Odegard",2,130.83
"Ed Ludwig",2,124.28
"Clay Cheatham",3,113.83
"Roland Murray",1,98.35
"Karen Seio",3,88.47
"Anemone Ratner",1,88.15
"Fred Wasserman",3,79.75
"Jasper Cacioppo",4,71.26
"Adrian Shami",2,58.82
"Larry Blacks",3,50.19
"Ricardo Emerson",1,48.36
"Susan Gilcrest",3,47.95
"Roy Skaria",2,22.33
"Mitch Gastineau",1,16.74
"Carl Jackson",1,16.52
"Lela Donovan",1,5.3
"Thais Sissman",2,4.83
