Customer_Name,Revenue,Customer_Rank
"Brenda Bowman",6765.727999999999,58
"Joel Eaton",6760.814999999999,59
"Yana Sorensen",6720.443999999999,60
"Andy Reiter",6608.448,61
"Dan Reichenbach",6528.033999999999,62
"Grace Kelly",6497.27,63
"Joseph Airdo",6491.026000000001,64
"Nathan Mautz",6459.343999999999,65
"Valerie Dominguez",6442.254000000001,66
"Sarah Brown",6410.995999999999,67
"James Galang",6366.391999999999,68
"Darrin Martin",6345.103,69
"Corinna Mitchell",6339.5576,70
"Max Jones",6320.746,71
"Brosina Hoffman",6255.351000000001,72
"Rob Lucas",6234.909999999999,73
"William Brown",6160.102,74
"Victoria Wilson",6134.0380000000005,75
"Shirley Daniels",6121.114,76
"Quincy Jones",6108.338,77
"Alan Dominguez",6106.879999999999,78
"Cassandra Brandow",6076.138999999999,79
"Greg Maxwell",6049.966000000002,80
"Shahid Collister",5992.535999999999,81
"Kristen Hastings",5990.798999999999,82
"Robert Marley",5979.0960000000005,83
"Keith Herrera",5952.859000000002,84
"Ben Ferrer",5907.972,85
"Christine Phan",5888.275000000001,86
"Bill Donatelli",5718.521000000001,87
"Cindy Stewart",5690.054999999999,88
"Anne McFarland",5664.022,89
"Ross Baird",5633.315999999999,90
"Katherine Murray",5620.186,91
"Alex Avila",5563.56,92
"Suzanne McNair",5563.392,93
"Naresj Patel",5529.62,94
"Amy Cox",5527.8460000000005,95
"Mick Hernandez",5503.092999999999,96
"Dennis Pardue",5480.723999999999,97
"Emily Phan",5478.0608,98
"Yoseph Carroll",5454.35,99
"Stefania Perrino",5440.319,100
"Luke Weiss",5420.513999999999,101
"Cathy Prescott",5402.253999999999,102
"Thomas Seio",5371.09,103
"Tonja Turnell",5364.808000000001,104
"Mitch Webber",5341.9,105
"Tom Prescott",5329.0048,106
"Tamara Willingham",5278.825999999999,107
"Dianna Wilson",5271.628,108
"Mitch Willingham",5253.876,109
"Harold Ryan",5248.786999999999,110
"Steven Cartwright",5226.209999999998,111
"Resi Pölking",5153.084,112
"Lena Radford",5142.891999999999,113
"Mike Pelletier",5087.92,114
"Anna Andreadi",5086.935000000001,115
"Ivan Liston",5040.736,116
"Kelly Lampkin",5016.488000000001,117
"Laurel Beltran",4985.676,118
"Dave Hallsten",4932.871999999999,119
"Irene Maddox",4930.473999999999,120
"Ted Trevino",4915.602,121
"Kunst Miller",4909.472000000001,122
"Philisse Overcash",4893.043000000001,123
"Heather Kirkland",4877.784,124
"Anthony Jacobs",4867.344,125
"Joe Kamberova",4867.200000000001,126
"Alan Hwang",4805.344,127
"Dean Katz",4802.393999999999,128
"Russell Applegate",4793.543000000001,129
"Sue Ann Reed",4767.3415,130
"Jim Kriz",4760.434000000001,131
"Bart Watters",4750.357999999999,132
"Tracy Blumstein",4737.486,133
"Giulietta Baptist",4716.2880000000005,134
"Rick Bensley",4715.466000000001,135
"Erin Smith",4657.924,136
"Deborah Brumfield",4655.897,137
"Kean Thornton",4642.088400000001,138
"Sample Company A",4624.572000000001,139
"Eugene Moren",4588.436,140
"Dave Brooks",4531.646000000002,141
"Anthony Rawles",4523.335999999999,142
"Arthur Gainer",4510.7970000000005,143
"Anthony Johnson",4501.391,144
"Linda Cazamias",4492.946,145
"Stewart Carmichael",4492.656999999999,146
"Theone Pippenger",4454.056,147
"Mark Cousins",4432.138,148
"Jamie Kunitz",4427.142000000001,149
"Katrina Willman",4416.52,150
"Bradley Drucker",4411.243,151
"Arianne Irving",4375.785999999999,152
"Scot Coram",4371.9580000000005,153
"Ellis Ballard",4358.128,154
"Gary Zandusky",4355.15,155
"Steven Roelle",4345.8859999999995,156
"Natalie DeCherney",4326.139,157
"Matt Abelman",4299.160999999999,158
"Sung Pak",4282.94,159
"Dana Kaydos",4282.175999999999,160
"Rick Duston",4272.93,161
"Toby Carlisle",4266.812,162
"Alan Schoenberger",4260.784000000001,163
"Frank Hawley",4256.272,164
"Claudia Bergmann",4246.4555,165
"Tracy Hopkins",4234.0960000000005,166
"Bill Eplett",4204.6759999999995,167
"Jill Fjeld",4198.332,168
"Gary Hwang",4172.8460000000005,169
"Roland Schwarz",4159.769999999999,170
"Muhammed Yedwab",4152.696000000001,171
"Peter McVee",4115.662,172
"Stewart Visinsky",4105.305,173
"Denise Monton",4074.4720000000007,174
"Frank Preis",4046.7460000000005,175
"Susan Pistek",3990.6890000000003,176
"Craig Molinari",3984.4524,177
"Michael Paige",3983.6420000000003,178
"Sean Christensen",3979.0649999999996,179
"Sanjit Jacobs",3949.6559999999995,180
"Luke Foster",3930.509,181
"Pierre Wener",3922.4149999999995,182
"George Ashbrook",3919.7760000000003,183
"Ken Heidel",3918.966,184
"Chris Cortes",3913.418,185
"Dorothy Badders",3908.8028,186
"Nora Paige",3908.402,187
"Kelly Collister",3908.2619999999997,188
"Fred Chung",3889.3659999999995,189
"Bill Stewart",3887.834,190
"John Stevenson",3868.02,191
"Ruben Ausman",3832.3139999999994,192
"Annie Thurman",3831.8640000000005,193
"Olvera Toch",3818.6240000000003,194
"Rose O'Brian",3815.478,195
"Michael Chen",3805.714000000001,196
"Michael Moore",3794.08,197
"Carol Adams",3789.7228,198
"Matthew Grinstein",3785.276,199
"Maribeth Dona",3766.382,200
"Jim Karlsson",3760.028,201
"Juliana Krohn",3747.6680000000006,202
"Frank Merwin",3736.1979999999994,203
"Scott Cohen",3729.7929999999997,204
"Hunter Glantz",3690.284,205
"Ben Peterman",3675.861,206
"Liz Preis",3653.3990000000003,207
"Christopher Schild",3651.8585000000007,208
"Ed Braxton",3644.9780000000005,209
"Jeremy Pistek",3635.5940000000005,210
"Sam Zeldin",3625.3289999999997,211
"Rick Hansen",3621.3759999999997,212
"Thomas Boland",3589.296,213
"Gary McGarr",3582.8199999999997,214
"Dionis Lloyd",3539.322,215
"Erica Smith",3510.4579999999996,216
"Robert Waldorf",3495.646,217
"Anna Gayman",3489.0395999999996,218
"Emily Ducich",3484.92,219
"Pauline Webber",3454.916,220
"Sarah Foster",3422.785999999999,221
"Frank Carlisle",3418.742,222
"Sally Hughsby",3406.8394999999996,223
"Sandra Glassco",3406.581,224
"Trudy Schmidt",3368.093999999999,225
"Sam Craven",3362.9635999999996,226
"Victoria Pisteka",3360.526,227
"Doug Jacobs",3356.3979999999997,228
"Dianna Vittorini",3341.5870000000004,229
"Sylvia Foulston",3336.535,230
"Dan Campbell",3336.1680000000006,231
"Arthur Prichep",3323.556,232
"Dennis Kane",3318.4859999999994,233
"Katharine Harms",3312.864,234
"Randy Ferguson",3309.1500000000005,235
"Rick Reed",3302.262,236
"Brian Dahlen",3288.471,237
"Brian Stugart",3288.11,238
"Rob Williams",3279.7459999999996,239
"Daniel Lacy",3272.2000000000003,240
"Damala Kotsonis",3256.4800000000005,241
"Adam Shillingsburg",3255.3099999999995,242
"Jack O'Briant",3254.9490000000005,243
"Adam Hart",3250.336999999999,244
"Henry Goldwyn",3247.6419999999994,245
"Lindsay Castell",3246.626,246
"Carol Triggs",3241.898000000001,247
"Edward Becker",3236.3139999999994,248
"Sharelle Roach",3233.481,249
"Lindsay Williams",3230.308,250
"Ricardo Sperren",3221.29,251
"Alejandro Savely",3214.236,252
"Mark Packer",3206.132,253
"Christine Sundaresam",3202.1620000000003,254
"Brian Thompson",3196.7520000000004,255
"Deirdre Greer",3195.818,256
"Jeremy Lonsdale",3173.874,257
"Greg Matthias",3163.628,258
"Janet Martin",3159.1220000000003,259
"Chloris Kastensmidt",3154.855,260
"Karen Bern",3152.615,261
"Maxwell Schwartz",3144.6779999999994,262
"Ruben Dartt",3133.9239999999995,263
"Tanja Norvell",3130.221,264
"Steve Nguyen",3127.9592000000007,265
"Speros Goranitis",3124.832000000001,266
"Katherine Hughes",3100.6119999999996,267
"Patrick Gardner",3086.907,268
"Eugene Hildebrand",3082.6530000000002,269
"Gary Mitchum",3078.6240000000003,270
"Eugene Barchas",3071.1259999999997,271
"Mike Gockenbach",3061.543,272
"Toby Gnade",3058.3720000000003,273
"Kean Takahito",3057.1,274
"Shahid Shariari",3056.807,275
"Sara Luxemburg",3053.012000000001,276
"Aaron Smayling",3050.6920000000005,277
"Cynthia Arntzen",3041.5659999999993,278
"Carlos Soltero",3036.5469999999996,279
"Lindsay Shagiari",2988.674,280
"Michelle Huthwaite",2984.9480000000003,281
"Frank Atkinson",2984.053999999999,282
"David Bremer",2973.094,283
"Noel Staavos",2964.8229999999994,284
"Tamara Manning",2955.2259999999997,285
"Christine Kargatis",2945.321,286
"Thea Hudgings",2942.772,287
"Liz Thompson",2936.2519999999995,288
"Becky Castell",2933.6759999999995,289
"Julie Kriz",2932.4840000000004,290
"Shaun Weien",2921.544,291
"Maris LaWare",2921.499999999999,292
"Rob Dowd",2912.8940000000002,293
"Craig Yedwab",2900.026,294
"Neil Ducich",2893.455,295
"Meg Tillman",2890.139,296
"Barry Französisch",2888.506,297
"David Smith",2881.8128,298
"Paul Van Hugh",2876.0460000000003,299
"Ionia McGrath",2872.63,300
"Chuck Clark",2870.0500000000006,301
"Craig Carroll",2854.1150000000007,302
"Arthur Wiediger",2852.9680000000003,303
"Erin Ashbrook",2846.7050000000004,304
"Linda Southworth",2845.27,305
"Darren Budd",2839.2272000000003,306
"Justin MacKendrick",2833.9260000000004,307
"Christina VanderZanden",2830.6279999999997,308
"Troy Staebel",2820.4240000000004,309
"Gary Hansen",2819.4670000000006,310
"Barry Gonzalez",2798.948,311
"Trudy Brown",2797.668,312
"Robert Dilbeck",2786.6319999999996,313
"John Castell",2772.0550000000007,314
"Philip Fox",2770,315
"Emily Burns",2767.219,316
"Chris Selesnick",2754.216,317
"Michelle Moray",2749.881,318
"Ken Black",2744.742,319
"Lauren Leatherbury",2741.204,320
"Marc Crier",2725.982,321
"John Lucas",2725.2560000000003,322
"Marina Lichtenstein",2722.843,323
"Jay Kimmel",2709.632,324
"Justin Ellison",2697.248,325
"Bradley Talbott",2684.492,326
"Bill Overfelt",2682.728,327
"Frank Olsen",2678.438,328
"Nicole Hansen",2673.2899999999995,329
"Richard Bierner",2663.0860000000002,330
"Eva Jacobs",2656.691,331
"Dave Kipp",2650.557,332
"Christina Anderson",2648.2871999999998,333
"Logan Currie",2633.5820000000003,334
"Ralph Arnett",2617.9060000000004,335
"Katherine Nockton",2617.2720000000004,336
"Sean O'Donnell",2602.575500000001,337
"Stephanie Ulpright",2595.3640000000005,338
"Helen Andreada",2584.1580000000004,339
"Alejandro Grove",2582.8979999999997,340
"Lena Cacioppo",2580.7039999999997,341
"Steve Chapman",2576.408,342
"Neola Schneider",2575.863,343
"Beth Thompson",2567.656,344
"Eleni McCrary",2567.01,345
"Mary Zewe",2564.906,346
"Bruce Stewart",2562.3820000000005,347
"Deanra Eno",2550.874,348
"Corey Catlett",2540.631,349
"Ann Chong",2537.686,350
"Charles McCrossin",2533.314,351
"Herbert Flentye",2533.164,352
"Fred McMath",2523.2659999999996,353
"Julia Barnett",2518.115,354
"Joy Smith",2516.4939999999997,355
"Don Jones",2501.688,356
"Amy Hunt",2495.3916000000004,357
"Patrick O'Donnell",2493.2140000000004,358
"Nick Zandusky",2488.31,359
"Michael Nguyen",2477.946,360
"Beth Paige",2475.1570000000006,361
"Charles Crestani",2471.6500000000005,362
"Nat Carroll",2461.404000000001,363
"Filia McAdams",2456.6380000000004,364
"Mark Hamilton",2456.182,365
"Brendan Sweed",2454.9280000000003,366
"Valerie Mitchum",2454.866,367
"George Zrebassa",2454.6220000000003,368
"Michelle Arnett",2453.284,369
"Bart Pistole",2442.044,370
"Matt Collister",2426.0669999999996,371
"Thea Hendricks",2422.824,372
"Marc Harrigan",2394.0249999999996,373
"David Flashing",2390.534,374
"Xylona Preis",2374.6580000000004,375
"Clytie Kelty",2372.7500000000005,376
"Jennifer Ferguson",2371.448,377
"Cynthia Voltz",2370.3136,378
"Nick Radford",2367.277,379
"Jack Garza",2358.676,380
"Andrew Gjertsen",2356.855,381
"Craig Leslie",2353.586,382
"Maureen Gastineau",2350.188,383
"Roland Fjeld",2341.2960000000003,384
"Elizabeth Moffitt",2339.598,385
"Dean Braden",2332.577,386
"Chris McAfee",2305.712,387
"Michael Kennedy",2302.3680000000004,388
"Lena Hernandez",2295.3320000000003,389
"Kristina Nunn",2280.5800000000004,390
"Jamie Frazer",2279.5860000000002,391
"Fred Harton",2271.284,392
"Craig Carreira",2269.7015000000006,393
"Bobby Elias",2261.438,394
"Kalyca Meade",2260.9579999999996,395
"Matt Connell",2258.192,396
"Justin Hirsh",2256.3940000000002,397
"Maribeth Yedwab",2254.2849999999994,398
"Ken Dana",2243.5099999999998,399
"Tony Sayre",2243.274,400
"Jason Gross",2240.5800000000004,401
"Laurel Workman",2238.0609999999997,402
"Allen Rosenblatt",2236.128,403
"Greg Guthrie",2224.000000000001,404
"Nathan Cano",2218.99,405
"Mick Crebagga",2218.98,406
"Dave Poirier",2215.002,407
"Phillip Flathmann",2206.1279999999997,408
"Maya Herman",2203.7780000000002,409
"Janet Lee",2203.7,410
"Justin Ritter",2201.6859999999997,411
"Edward Nazzal",2199.366,412
"Toby Braunhardt",2198.45,413
"Giulietta Weimer",2189.0190000000007,414
"Bill Tyler",2186.6130000000003,415
"Pamela Stobb",2181.479,416
"Shahid Hopkins",2180.718,417
"Kean Nguyen",2171.962,418
"Daniel Byrd",2171.599,419
"Roy Phan",2170.716000000001,420
"Theresa Swint",2163.6240000000003,421
"Helen Abelman",2163.3,422
"Ed Jacobs",2162.174,423
"Neoma Murray",2161.9790000000003,424
"John Dryer",2152.3520000000003,425
"Clay Rozendal",2148.852,426
"Duane Noonan",2139.7900000000004,427
"Karen Carlisle",2120.954,428
"Stefanie Holloman",2096.392,429
"Liz Carlisle",2095.064,430
"Rob Haberlin",2085.7400000000002,431
"Trudy Glocke",2074.661,432
"Max Ludwig",2071.914,433
"Roger Barcio",2067.45,434
"Tom Stivers",2054.14,435
"Art Ferguson",2052.9080000000004,436
"Carlos Daly",2033.968,437
"Nicole Fjeld",2031.472,438
"Denny Joy",2012.5200000000002,439
"Victoria Brennan",2005.5959999999998,440
"Harold Pawlan",1990.314,441
"Doug Bickford",1989.05,442
"Paul Gonzalez",1987.1640000000002,443
"Nona Balk",1972.599,444
"Scott Williamson",1966.65,445
"Lisa DeCherney",1961.934,446
"Christy Brittain",1949.2,447
"Tracy Poddar",1936.6399999999996,448
"Jas O'Carroll",1934.2720000000002,449
"Jay Fein",1911.844,450
"Max Engle",1908.4532,451
"Susan Vittorini",1903.491,452
"Katherine Ducich",1888.964,453
"Giulietta Dortch",1888.0700000000002,454
"Sheri Gordon",1884.7980000000002,455
"Lisa Ryan",1879.3059999999998,456
"Shaun Chance",1874.998,457
"Brooke Gillingham",1874.172,458
"Stephanie Phelps",1872.4360000000001,459
"Nat Gilpin",1869.58,460
"Cynthia Delaney",1860.732,461
"Skye Norling",1860.418,462
"Patrick Ryan",1840.1779999999997,463
"Ashley Jarboe",1839.2400000000002,464
"Pamela Coakley",1832.064,465
"Emily Grady",1832.02,466
"Pauline Johnson",1824.2340000000002,467
"Noah Childs",1821.7420000000002,468
"Janet Molinari",1804.1460000000002,469
"Jennifer Braxton",1791.605,470
"Andrew Allen",1790.512,471
"Chad Cunningham",1770.945,472
"Darrin Sayre",1762.2130000000002,473
"Monica Federle",1758.3,474
"Aaron Hawkins",1744.6999999999998,475
"Logan Haushalter",1739.6889999999999,476
"Ben Wallace",1738.4060000000002,477
"Valerie Takahito",1736.596,478
"Adrian Hane",1735.5140000000001,479
"Mike Vittorini",1734.5739999999998,480
"Jessica Myrick",1733.4430000000002,481
"Brad Eason",1727.652,482
"Denny Blanton",1711.692,483
"Julie Prescott",1707.7099999999998,484
"Tracy Zic",1707.2860000000003,485
"Becky Pak",1697.8609999999999,486
"Darren Koutras",1687.04,487
"Meg O'Connel",1687.027,488
"Ryan Akin",1686.9225000000004,489
"Katrina Edelman",1686.7312000000002,490
"Cathy Armstrong",1679.724,491
"Candace McMahon",1673.8880000000001,492
"Jennifer Patt",1669.1350000000002,493
"Chad McGuire",1661.6100000000001,494
"Cindy Chapman",1659.438,495
"Erica Bern",1643.255,496
"Anne Pryor",1638.5539999999999,497
"Annie Zypern",1622.018,498
"Maurice Satty",1613.402,499
"Tim Brockman",1602.376,500
"Craig Reiter",1600.55,501
"Alan Haines",1587.452,502
"Benjamin Farhat",1585.162,503
"Cyma Kinney",1582.1090000000004,504
"Mike Caudle",1581.9979999999998,505
"James Lanier",1571.523,506
"Karl Braun",1569.4640000000002,507
"George Bell",1568.44,508
"Odella Nelson",1567.52,509
"Mark Van Huff",1560.05,510
"Maria Bertelson",1548.7019999999998,511
"Brian DeCherney",1538.1099999999997,512
"Cathy Hwang",1537.2360000000003,513
"Bruce Degenhardt",1526.5,514
"Benjamin Venier",1523.2730000000001,515
"Kelly Andreada",1519.506,516
"Ann Blume",1515.862,517
"John Grady",1507.0180000000003,518
"Dan Lawera",1503.112,519
"Zuschuss Donatelli",1493.944,520
"Charlotte Melton",1475.1440000000002,521
"Laurel Elliston",1469.4500000000003,522
"Ted Butterfield",1467.881,523
"Parhena Norris",1467.152,524
"Ralph Kennedy",1460.1920000000002,525
"Bradley Nguyen",1459.344,526
"Delfina Latchford",1458.2580000000003,527
"Philip Brown",1456.9499999999998,528
"Andy Gerbode",1455.0379999999998,529
"Raymond Messe",1453.474,530
"Paul Knutson",1441.152,531
"Tamara Dahlen",1434.5480000000002,532
"Julia West",1428.731,533
"Mick Brown",1428.231,534
"Thomas Thornton",1427.044,535
"Christine Abelman",1421.954,536
"Roger Demir",1419.7370000000003,537
"Nancy Lomonaco",1418.0900000000001,538
"Jill Stevenson",1417.654,539
"Paul MacIntyre",1405.402,540
"Guy Armstrong",1398.382,541
"Cyra Reiten",1397.8724000000002,542
"Nathan Gelder",1395.938,543
"Jeremy Ellison",1388.682,544
"Troy Blackwell",1387.559,545
"Frank Gastineau",1383.1440000000002,546
"Don Miller",1376.792,547
"Gene Hale",1361.2440000000001,548
"Sarah Bern",1348.02,549
"Liz MacKendrick",1346.774,550
"Maureen Gnade",1342.282,551
"Sarah Jordon",1341.036,552
"Bryan Mills",1338.8419999999999,553
"Barry Franz",1333.88,554
"Saphhira Shifley",1324.028,555
"Dario Medina",1322.034,556
"Michelle Tran",1319.4497999999999,557
"Shirley Jackson",1318.7759999999998,558
"Magdelene Morse",1314.0230000000001,559
"Sibella Parks",1306.0859999999998,560
"Matt Collins",1303.893,561
"Eileen Kiefer",1303.478,562
Corey-Lock,1300.076,563
"Denny Ordway",1300.0315000000003,564
"Hallie Redmond",1299.2879999999998,565
"Georgia Rosenberg",1284.38,566
"Cari Sayre",1278.954,567
"Paul Stevenson",1278.6390000000001,568
"Stuart Van",1271.0900000000004,569
"Doug O'Connell",1267.316,570
"Carl Ludwig",1262.014,571
"Liz Willingham",1259.04,572
"Michelle Ellison",1256.944,573
"Gene McClure",1255.6819999999998,574
"Steve Carroll",1254.64,575
"Matt Hagelstein",1252.8,576
"Elpida Rittenbach",1245.788,577
"Tony Chapman",1244.976,578
"Joni Wasserman",1244.086,579
"Michael Grace",1242.833,580
"Nora Pelletier",1228.698,581
"Patrick Jones",1220.0900000000001,582
"Erica Hernandez",1219.5299999999997,583
"Jack Lebron",1214.9560000000001,584
"Christina DeMoss",1205.584,585
"Michael Dominguez",1204.9099999999999,586
"Dorothy Wardle",1204.854,587
"Evan Bailliet",1186.326,588
"Benjamin Patterson",1181.4900000000002,589
"Debra Catini",1174.618,590
"Alyssa Tate",1171.8139999999999,591
"Jim Radford",1156.658,592
"Duane Benoit",1155.2019999999998,593
"Claire Gute",1148.7800000000002,594
"Kimberly Carter",1146.0500000000002,595
"Ross DeVincentis",1137.6159999999998,596
"Carl Weiss",1136.592,597
"Jim Sink",1131.0639999999999,598
"Darrin Van Huff",1119.4830000000002,599
"Alan Barnes",1113.838,600
"Tony Molinari",1094.6779999999999,601
"Jesus Ocampo",1090.838,602
"Scot Wooten",1085.078,603
"Jeremy Farry",1082.918,604
"Dennis Bolton",1081.466,605
"David Wiener",1080.751,606
"Cindy Schnelling",1077.2285000000002,607
"Pauline Chand",1061.488,608
"David Philippe",1058.616,609
"Jenna Caffey",1058.1080000000002,610
"Phillina Ober",1056.8580000000002,611
"Allen Armold",1056.39,612
"Vivek Sundaresam",1055.9809999999998,613
"Alex Russell",1055.694,614
"Darren Powers",1050.636,615
"Duane Huffman",1043.096,616
"Susan MacKendrick",1043.0410000000002,617
"Eudokia Martin",1041.042,618
"Theresa Coyne",1038.26,619
"Mike Kennedy",1031.6019999999999,620
"Tiffany House",1022.2010000000001,621
"Sean Wendt",1019.0439999999998,622
"Luke Schmidt",1010.2560000000001,623
"Randy Bradley",1008.1959999999999,624
"Lynn Smith",1008.1359999999999,625
"Bruce Geld",1006.356,626
"Victor Preis",993.9019999999999,627
"Ken Brennan",983.922,628
"Barry Pond",983.4199999999998,629
"Toby Swindell",974.7819999999999,630
"Russell D'Ascenzo",970.9420000000001,631
"Aimee Bixby",966.7099999999998,632
"Roy Collins",966.4089999999999,633
"Sung Shariari",964.6360000000001,634
"Jonathan Howell",959.4770000000002,635
"Jason Fortune-",955.124,636
"Rachel Payne",954.6451999999999,637
"Bryan Spruell",949.43,638
"Roy Französisch",945.222,639
"Eric Barreto",944.6000000000001,640
"Maureen Fritzler",937.039,641
"Eric Murdock",933.704,642
"Alyssa Crouse",925.8,643
"Evan Henry",923.884,644
"Mary O'Rourke",922.487,645
"Alejandro Ballentine",914.5319999999998,646
"Katrina Bavinger",908.8209999999999,647
"Catherine Glotzbach",904.468,648
"Sonia Cooley",902.7280000000001,649
"Joni Blumstein",900.552,650
"Henia Zydlo",886.5199999999999,651
"Aaron Bergman",886.156,652
"Ryan Crowe",885.752,653
"Chad Sievert",884.64,654
"Harold Engle",883.5320000000002,655
"Sally Knutson",883.409,656
"Richard Eichhorn",876.696,657
"Jim Mitchum",864.9470000000001,658
"Jocasta Rupert",863.88,659
"Art Foster",861.5649999999999,660
"Julie Creighton",858.576,661
"Michael Stewart",855.1160000000001,662
"Vicky Freymann",847.944,663
"Vivek Gonzalez",846.0100000000001,664
"Charles Sheldon",844.4580000000001,665
"Todd Boyes",834.328,666
"Ann Steele",833.398,667
"Erica Hackney",825.9499999999999,668
"Thomas Brumley",816.174,669
"Alice McCarthy",814.0120000000001,670
"Brendan Murry",808.1619999999999,671
"David Kendrick",797.832,672
"Matthew Clasen",795.1540000000001,673
"Beth Fritzler",791.9899999999999,674
"Harry Greene",785.628,675
"Michael Granlund",776.384,676
"Muhammed MacIntyre",775.4140000000001,677
"Sandra Flanagan",763.5459999999998,678
"Steven Ward",758.696,679
"Liz Pelletier",756.606,680
"Dorris liebe",755.602,681
"Ivan Gibson",744.574,682
"Barry Blumstein",744.3399999999999,683
"Tracy Collins",742.558,684
"Michelle Lonsdale",742.082,685
"Ritsa Hightower",740.382,686
"Patrick Bzostek",740.356,687
"Angele Hood",738.504,688
"Henry MacAllister",736.276,689
"Patricia Hirasaki",729.648,690
"Pete Armstrong",729.408,691
"Jennifer Jackson",709.1780000000001,692
"Julia Dunbar",695.4420000000001,693
"Peter Bühler",688.324,694
"Eric Hoffmann",684.171,695
"Toby Ritter",675.942,696
"Alex Grayson",660.972,697
"Berenike Kampe",659.138,698
"Bryan Davis",658.466,699
"Anna Chung",657.316,700
"Anthony Witt",649.376,701
"Lori Olson",644.35,702
"Joy Bell-",644.1188,703
"Carol Darley",639.766,704
"Mathew Reese",639.178,705
"Astrea Jones",629.2479999999999,706
"Ralph Ritter",615.932,707
"Shirley Schmidt",613.4000000000001,708
"Bobby Trafton",603.876,709
"Barbara Fisher",599.798,710
"Maria Zettner",593.606,711
"Denise Leinenbach",585.02,712
"Alan Shonely",584.6080000000001,713
"Brian Derr",582.646,714
"Neil Knudson",572.048,715
"Carlos Meador",565.392,716
"Chuck Sachs",550.6440000000001,717
"Cari Schnelling",537.6320000000001,718
"John Huston",528.9100000000001,719
"Rob Beeghly",528.546,720
"Andy Yotov",497.01400000000007,721
"Corey Roper",475.9,722
"MaryBeth Skach",475.65599999999995,723
"Joni Sundaresam",469.169,724
"Erin Creighton",461.914,725
"Khloe Miller",453.538,726
"Kelly Williams",449.09600000000006,727
"Tim Taslimi",439.5,728
"Shui Tom",433.34,729
"Vivek Grady",427.372,730
"Sonia Sunley",418.49,731
"Brad Thomas",415.19599999999997,732
"Mark Haberlin",400.016,733
"Barry Weirich",385.516,734
"Joy Daniels",385.43,735
"Jason Klamczynski",383.812,736
"Vivian Mathis",380.69,737
"Neil Französisch",377.16200000000003,738
"Melanie Seite",370.348,739
"Lycoris Saunders",368.88,740
"Aleksandra Gannaway",367.548,741
"Evan Minnotte",366.822,742
"Heather Jas",358.1,743
"Don Weiss",344.08000000000004,744
"Larry Tron",329.876,745
"Brendan Dodson",320.53999999999996,746
"Lisa Hazard",318.239,747
"Jennifer Halladay",309.281,748
"Jill Matthias",303.948,749
"Chuck Magee",287.98999999999995,750
"Larry Hughes",287.426,751
"Sung Chung",280.632,752
"Stuart Calhoun",279.256,753
"Nicole Brennan",273.87199999999996,754
"Bart Folk",272.95,755
"Dorothy Dickinson",269.54200000000003,756
"Brad Norvell",265.296,757
"Andrew Roberts",264.86400000000003,758
"Harold Dahlen",251.36,759
"Sally Matthias",244.494,760
"Paul Lucas",239.48100000000002,761
"Guy Phonely",236.53,762
"Erin Mull",228.99,763
"Guy Thornton",226.43599999999998,764
"Robert Barroso",221.08399999999997,765
"Hilary Holden",218.668,766
"Allen Goldenen",200.945,767
"Joel Jenkins",195,768
"Anthony Garverick",170.58399999999997,769
"Muhammed Lee",162.232,770
